,Banner_type0,Banner_type1,Banner_type2,Banner_type3,Banner_type4
112,0,0,1,0,1
113,1,1,0,1,0
114,0,1,0,0,1
115,0,0,0,0,1
116,1,0,1,0,0
117,1,0,0,0,1
118,0,0,1,0,0
119,0,0,1,1,1
120,1,1,0,1,0
121,0,1,1,1,1
122,0,1,1,1,1
123,1,1,0,1,1
124,0,0,1,1,1
125,0,0,1,0,0
126,0,0,0,1,1
127,0,0,1,0,0
128,0,1,1,0,0
129,0,1,0,1,1
130,0,0,0,0,0
131,1,1,1,1,0
132,1,0,1,1,1
133,1,1,1,1,0
134,0,0,1,1,1
135,1,1,1,1,0
136,1,0,0,1,0
137,1,1,0,1,1
138,1,1,1,0,0
139,1,0,1,1,0
140,0,0,1,1,0
141,1,1,0,0,0
142,1,0,1,1,0
143,1,0,1,0,0
144,0,1,0,0,0
145,1,1,1,1,0
146,1,1,1,0,0
147,0,1,0,1,0
148,1,1,1,1,0
149,0,0,1,1,1
150,1,1,1,1,0
151,1,1,0,0,0
152,0,1,0,1,0
153,0,0,0,1,1
154,0,0,1,1,1
155,0,1,1,0,0
156,1,1,1,0,0
157,0,0,1,0,0
158,1,0,0,1,1
159,0,1,1,1,1
160,0,0,1,0,1
161,0,1,1,0,0
162,0,1,1,1,0
163,0,1,1,0,0
164,1,1,0,0,0
165,1,0,1,1,0
166,1,1,0,1,0
167,1,1,1,0,1
168,0,1,1,0,1
169,0,1,1,0,1
170,1,1,0,1,1
171,1,0,0,1,1
172,0,1,0,1,0
173,0,0,0,0,1
174,1,0,0,1,0
175,1,1,1,0,1
176,1,0,1,1,1
177,0,0,0,0,0
178,1,1,1,0,1
179,0,1,1,1,1
180,0,0,0,0,1
181,0,0,1,1,0
182,1,1,1,1,1
183,1,0,1,1,0
184,0,0,1,1,0
185,1,1,1,1,0
186,0,1,0,0,1
187,0,1,1,0,0
188,0,0,0,1,1
189,1,0,1,0,0
190,0,1,1,0,1
191,1,0,0,0,0
192,1,0,0,1,0
193,1,1,1,0,1
194,1,0,0,0,1
195,0,1,0,1,0
196,1,1,0,0,1
197,0,1,0,0,1
198,1,0,1,1,1
199,0,1,1,1,1
200,0,1,0,1,1
201,1,0,0,1,1
202,1,1,1,0,1
203,0,1,0,0,0
204,0,1,1,1,1
205,0,0,0,1,1
206,0,1,0,0,1
207,0,0,0,1,1
208,1,1,0,0,1
209,0,0,0,1,0
210,1,0,0,1,0
211,1,1,0,1,1
212,1,0,1,0,1
213,0,1,1,0,0
214,0,1,0,1,0
215,0,0,0,0,1
216,0,1,0,1,1
217,0,1,1,0,1
218,0,0,0,1,1
219,0,0,0,1,1
220,0,0,0,0,1
221,0,0,1,1,0
222,1,1,1,1,0
223,1,1,0,0,0
224,1,0,1,0,1
225,1,0,0,0,0
226,0,0,1,1,0
227,0,1,1,0,1
228,1,1,1,0,0
229,1,1,0,1,0
230,1,0,0,1,0
231,0,0,1,1,1
232,1,1,0,0,0
233,0,1,0,1,1
234,1,1,1,0,0
235,1,0,1,0,1
236,1,1,1,1,0
237,1,0,0,1,1
238,0,1,1,1,1
239,0,1,1,0,1
240,1,0,0,0,1
241,0,1,1,0,0
242,0,0,0,1,1
243,0,1,0,0,0
244,0,0,1,1,0
245,0,1,1,0,0
246,0,0,1,0,1
247,1,1,1,1,1
248,1,1,0,0,1
249,1,0,1,1,1
250,0,0,1,0,0
251,0,1,1,0,1
252,0,1,0,0,0
253,0,1,0,1,0
254,1,1,0,1,0
255,0,0,0,0,1
256,0,1,0,1,0
257,1,1,0,0,0
258,1,0,0,1,0
259,0,1,1,0,1
260,1,0,1,1,1
261,1,1,0,0,1
262,1,1,0,0,1
263,1,1,0,1,0
264,1,1,0,0,1
265,0,1,0,1,0
266,1,0,0,1,1
267,0,0,1,1,1
268,0,0,1,0,0
269,1,0,0,1,0
270,1,1,0,0,0
271,1,1,0,0,0
272,0,1,0,0,1
273,0,1,0,0,1
274,1,1,1,1,1
275,0,0,1,0,1
276,1,0,1,0,0
277,0,0,0,1,1
278,1,1,1,1,1
279,1,1,0,1,1
280,1,0,1,1,1
281,1,0,0,0,1
282,0,0,1,0,0
283,0,1,1,1,0
284,1,1,0,0,1
285,1,0,1,0,0
286,1,0,0,1,0
287,1,0,1,0,1
288,0,1,0,1,0
289,0,0,1,0,0
290,1,1,1,0,1
291,1,0,0,0,1
292,1,0,0,0,1
293,1,1,1,1,0
294,0,1,0,1,0
295,0,1,1,0,0
296,1,1,0,0,1
297,1,0,1,0,0
298,1,0,1,0,1
299,0,0,1,1,1
300,0,1,0,1,1
301,0,1,0,1,1
302,1,0,0,1,0
303,1,1,1,0,1
304,0,1,0,0,0
305,0,1,0,1,1
306,0,0,1,1,0
307,1,0,1,0,0
308,0,1,1,1,0
309,1,1,0,0,1
310,1,0,0,0,0
311,0,0,1,0,0
312,1,1,0,0,1
313,1,1,0,1,1
314,1,1,0,1,1
315,0,1,0,1,1
316,0,0,0,0,1
317,1,1,0,0,0
318,1,1,1,1,1
319,1,1,1,0,1
320,1,0,0,0,1
321,0,1,1,0,0
322,0,1,0,1,1
323,1,1,1,1,0
324,1,1,0,0,0
325,1,0,1,0,0
326,1,0,0,0,0
327,1,0,0,1,0
328,0,1,1,0,0
329,1,1,1,1,0
330,0,1,1,0,1
331,0,1,0,1,0
332,0,0,0,1,0
333,0,0,1,1,1
334,0,0,1,0,1
335,0,1,0,0,0
336,0,1,0,0,0
337,1,1,0,0,1
338,0,0,1,1,1
339,0,1,0,0,1
340,1,0,0,1,0
341,0,0,1,0,1
342,1,1,1,1,1
343,0,1,0,0,0
344,0,0,1,1,0
345,1,1,0,0,0
346,0,1,0,1,1
347,0,0,0,1,0
348,1,1,1,0,0
349,0,0,0,1,1
350,0,0,1,0,0
351,1,1,1,0,0
352,0,0,0,0,1
353,1,1,1,0,1
354,1,0,0,1,1
355,0,1,0,0,1
356,1,0,1,0,0
357,0,1,0,1,0
358,1,1,1,1,0
359,0,0,1,0,1
360,0,1,0,0,0
361,1,0,1,0,1
362,1,0,1,1,1
363,1,1,1,1,0
364,0,0,1,1,0
365,0,0,0,1,0
366,1,0,1,0,1
367,0,1,1,0,0
368,0,0,1,1,1
369,1,1,0,0,0
370,0,0,1,1,0
371,0,1,0,0,0
372,0,0,0,1,1
373,0,1,1,1,1
374,0,1,1,0,1
375,0,1,0,1,1
376,0,1,1,1,1
377,1,0,1,0,0
378,1,0,1,1,1
379,1,1,0,1,0
380,1,1,0,1,0
381,1,0,0,1,1
382,1,0,1,1,0
383,0,1,1,1,1
384,1,1,0,0,0
385,1,1,0,1,1
386,0,1,0,0,1
387,0,0,1,1,0
388,0,0,0,1,1
389,0,1,1,0,0
390,0,1,0,0,1
391,1,0,0,0,1
392,0,1,0,0,1
393,1,1,1,1,0
394,1,1,0,1,0
395,0,1,1,0,0
396,1,1,0,0,0
397,1,0,0,0,0
398,0,1,1,1,0
399,0,1,1,1,1
400,1,1,1,1,1
401,1,1,1,0,1
402,0,0,0,1,1
403,1,1,1,0,1
404,1,0,1,1,0
405,0,0,1,0,0
406,1,1,0,1,0
407,1,1,0,0,0
408,0,0,0,0,0
409,0,0,1,1,0
410,0,0,0,1,0
411,0,1,1,1,0
412,0,0,0,1,1
413,0,1,1,1,0
414,1,0,0,1,0
415,1,0,1,0,0
416,1,0,1,1,1
417,1,1,1,0,0
418,0,1,0,0,0
419,1,1,0,0,1
420,1,1,0,0,1
421,0,1,0,0,0
422,1,0,0,1,1
423,0,0,0,1,1
424,1,0,0,0,0
425,0,0,0,1,1
426,1,1,0,0,0
427,0,0,0,1,0
428,1,1,0,1,0
429,1,0,0,0,0
430,0,0,0,1,1
431,1,0,1,0,0
432,0,0,1,1,0
433,0,1,0,1,1
434,0,0,1,1,1
435,0,0,0,1,0
436,0,1,1,1,0
437,0,0,0,1,1
438,1,1,1,1,1
439,1,1,0,0,1
440,1,1,1,1,0
441,0,0,0,0,1
442,0,0,1,1,1
443,0,1,1,1,1
444,1,0,1,1,0
445,1,1,0,0,1
446,1,1,1,0,1
447,0,1,1,1,0
448,1,0,0,0,1
449,1,1,1,1,0
450,0,0,1,1,0
451,1,1,1,1,1
452,1,1,1,0,0
453,1,1,0,0,0
454,1,1,0,0,1
455,0,1,0,1,1
456,1,0,1,0,0
457,0,0,1,0,1
458,1,1,0,0,1
459,1,1,1,1,1
460,1,0,0,0,0
461,1,1,1,0,1
462,0,1,0,1,1
463,0,0,0,1,1
464,1,1,0,1,0
465,1,0,1,0,0
466,1,0,0,0,1
467,0,1,0,1,0
468,0,0,0,1,0
469,0,1,1,0,0
470,0,0,1,1,1
471,0,0,0,1,1
472,0,1,0,1,1
473,0,0,0,1,0
474,1,0,1,0,1
475,0,0,1,0,1
476,1,0,1,0,1
477,0,0,0,0,1
478,0,1,1,1,1
479,0,0,0,1,1
480,1,0,1,0,1
481,1,0,1,0,1
482,1,1,0,1,0
483,0,1,0,0,0
484,1,0,1,0,1
485,0,1,0,0,0
486,1,1,0,1,1
487,1,0,1,0,0
488,1,0,1,1,0
489,1,1,0,0,0
490,0,1,0,0,1
491,1,0,0,1,0
492,1,1,0,1,1
493,1,1,0,0,0
494,0,1,0,0,1
495,1,0,1,1,1
496,1,0,1,1,0
497,0,1,1,1,1
498,0,0,0,1,1
499,1,0,0,1,1
500,0,1,0,1,1
501,0,0,1,1,1
502,0,1,1,0,0
503,1,1,0,1,1
504,1,0,0,1,1
505,1,1,0,0,0
506,1,1,0,1,1
507,0,1,1,1,1
508,0,0,0,1,1
509,1,1,0,1,0
510,1,1,1,1,1
511,1,0,1,0,1
512,0,1,1,0,1
513,0,1,1,1,0
514,1,0,1,1,1
515,0,1,1,1,1
516,1,0,1,1,1
517,1,0,1,1,0
518,0,1,0,0,0
519,1,0,1,1,0
520,0,1,1,0,1
521,1,1,0,1,1
522,1,1,0,1,0
523,1,1,0,1,0
524,0,1,0,1,0
525,0,0,1,0,1
526,1,1,0,1,1
527,0,0,0,0,1
528,1,0,1,0,0
529,0,0,0,0,0
530,1,1,0,0,1
531,1,1,0,0,1
532,1,1,1,0,1
533,1,1,1,1,1
534,1,0,1,1,0
535,1,0,1,1,0
536,0,0,1,1,1
537,0,1,1,0,0
538,0,1,0,1,1
539,0,0,0,0,1
540,1,0,1,1,1
541,1,0,1,1,0
542,1,1,1,0,0
543,0,1,1,0,1
544,1,0,1,0,0
545,1,1,0,0,1
546,1,0,1,1,1
547,0,0,0,1,1
548,1,1,0,1,0
549,1,0,1,1,0
550,0,0,1,0,0
551,1,1,1,0,0
552,0,1,0,0,0
553,1,1,1,1,1
554,1,1,1,1,0
555,0,0,0,0,0
556,0,0,0,0,1
557,0,1,0,1,0
558,1,1,0,0,1
559,1,1,0,0,1
560,1,0,0,0,0
561,1,1,0,0,0
562,0,1,0,1,0
563,1,1,0,0,1
564,1,0,0,0,1
565,0,0,0,0,1
566,1,1,0,1,1
567,0,0,1,1,1
568,0,1,0,0,0
569,1,0,0,1,0
570,1,1,0,1,1
571,0,1,0,1,1
572,0,1,1,1,1
573,0,0,0,0,0
574,0,0,0,0,1
575,0,1,0,1,1
576,1,0,0,0,1
577,0,0,0,0,0
578,1,0,1,1,1
579,1,1,0,1,1
580,0,0,1,0,0
581,0,0,0,1,1
582,0,0,1,1,0
583,0,1,1,0,1
584,1,0,0,0,1
585,0,0,1,1,0
586,0,0,0,0,0
587,0,0,0,1,1
588,0,1,0,0,0
589,1,0,1,0,0
590,0,0,1,0,0
591,0,1,1,0,1
592,0,0,0,1,0
593,1,0,0,1,0
594,1,1,0,0,1
595,0,1,1,0,0
596,0,1,1,0,0
597,1,0,0,1,0
598,0,1,1,1,0
599,1,0,1,1,0
600,0,1,1,1,0
601,1,0,0,0,0
602,0,1,1,0,1
603,0,1,0,1,0
604,0,0,1,1,1
605,0,1,1,1,0
606,1,0,0,1,0
607,1,1,0,0,0
608,1,1,1,0,0
609,0,1,1,0,0
610,1,1,1,1,0
611,0,1,1,0,1
612,0,1,0,0,1
613,0,0,0,0,0
614,1,0,1,1,1
615,0,1,1,0,0
616,0,1,1,0,0
617,1,1,0,1,1
618,1,1,0,1,1
619,0,1,1,0,0
620,0,1,0,1,1
621,1,1,0,0,0
622,0,1,0,1,0
623,1,1,1,1,0
624,1,1,1,1,1
625,0,1,0,1,1
626,0,1,1,0,1
627,0,0,0,1,0
628,0,0,1,1,1
629,1,1,0,1,1
630,0,1,0,0,0
631,0,0,0,1,0
632,0,0,0,1,0
633,1,1,1,0,1
634,1,1,0,1,1
635,0,0,1,0,1
636,1,1,0,1,1
637,0,1,0,0,0
638,1,1,1,1,0
639,0,0,1,0,1
640,0,0,1,0,1
641,1,0,0,1,0
642,0,0,0,1,1
643,1,0,1,1,0
644,0,1,1,0,0
645,1,1,0,0,1
646,0,0,1,0,0
647,1,1,1,1,0
648,1,1,1,1,1
649,0,0,0,0,1
650,0,1,1,0,0
651,0,1,0,1,1
652,0,1,0,1,1
653,1,1,1,1,1
654,0,0,0,0,0
655,1,0,0,0,0
656,1,1,0,1,0
657,1,1,0,0,1
658,1,0,0,1,1
659,0,0,1,1,1
660,1,1,0,0,0
661,0,1,1,0,0
662,0,1,1,0,1
663,1,1,0,1,1
664,1,0,0,0,0
665,0,0,1,0,1
666,0,1,1,0,1
667,0,1,1,1,1
668,1,0,1,0,0
669,0,0,1,0,0
670,0,1,0,1,0
671,0,0,0,0,0
672,0,0,1,1,1
673,1,1,1,0,0
674,1,1,1,0,1
675,1,0,1,0,0
676,1,1,0,1,1
677,0,1,0,0,0
678,0,0,1,0,1
679,0,1,1,0,0
680,1,0,0,1,1
681,0,0,0,1,1
682,0,1,0,1,1
683,0,0,1,0,0
684,0,0,1,1,1
685,0,1,0,1,0
686,1,0,0,0,0
687,1,0,0,1,0
688,1,0,0,1,1
689,0,1,1,1,0
690,1,0,1,0,1
691,1,1,1,0,1
692,0,1,1,1,1
693,1,1,0,1,0
694,1,0,0,1,0
695,0,1,1,0,1
696,1,0,0,0,1
697,1,1,1,1,0
698,1,1,1,0,0
699,1,1,0,1,1
700,1,0,1,1,1
701,1,0,0,0,1
702,1,0,1,0,0
703,0,1,0,0,0
704,0,0,1,1,0
705,0,0,1,1,0
706,0,1,0,0,1
707,0,0,1,0,0
708,0,0,0,0,1
709,1,0,0,1,1
710,0,1,1,0,1
711,0,0,0,0,1
712,1,0,1,1,0
713,1,1,1,1,0
714,0,1,1,1,0
715,1,1,1,0,1
716,0,0,1,0,1
717,0,1,0,0,1
718,1,1,0,1,0
719,0,0,0,1,0
720,1,1,1,1,0
721,1,0,0,0,1
722,0,0,1,1,0
723,1,1,0,1,1
724,0,0,0,0,0
725,0,0,1,1,1
726,1,1,1,1,0
727,0,1,1,0,0
728,1,0,1,0,0
729,0,1,1,1,0
730,0,1,0,1,1
731,1,1,1,0,1
732,1,1,0,1,0
733,1,0,0,1,1
734,0,1,1,0,0
735,1,0,1,0,0
736,0,1,1,1,1
737,0,1,1,1,0
738,0,1,1,1,1
739,1,0,1,1,0
740,1,0,1,1,0
741,1,1,0,0,0
742,1,1,0,0,1
743,0,0,1,1,0
744,1,0,0,1,1
745,1,1,1,1,1
746,0,0,1,0,1
747,1,0,0,0,1
748,1,0,0,1,1
749,0,1,1,1,0
750,0,1,1,0,0
751,1,0,0,0,1
752,1,0,1,1,0
753,0,0,0,1,0
754,0,1,1,0,1
755,0,0,1,0,1
756,1,1,0,0,1
757,0,0,0,0,0
758,0,0,0,1,0
759,1,0,0,0,1
760,1,1,1,0,1
761,0,1,1,0,1
762,0,0,1,1,0
763,0,0,0,1,0
764,1,0,0,0,0
765,0,0,1,0,1
766,1,1,0,0,0
767,0,0,1,0,0
768,0,1,1,0,0
769,1,0,1,0,1
770,0,1,0,0,0
771,1,1,0,0,0
772,0,1,1,1,0
773,1,1,0,0,1
774,1,0,1,0,1
775,0,0,1,0,1
776,0,0,1,1,0
777,0,1,0,0,0
778,0,1,1,0,0
779,1,0,1,1,0
780,1,1,1,0,1
781,1,0,0,1,1
782,1,1,1,0,1
783,1,1,1,0,0
784,1,0,0,0,0
785,0,1,1,0,0
786,1,1,1,0,1
787,0,1,0,0,0
788,0,1,0,0,0
789,1,1,1,1,0
790,1,0,1,1,0
791,0,0,0,1,1
792,1,1,1,1,1
793,0,1,1,1,1
794,1,0,1,1,1
795,0,0,1,1,0
796,0,0,0,0,1
797,1,1,0,0,1
798,0,0,0,0,1
799,1,1,0,0,1
800,0,0,1,0,1
801,1,0,1,1,0
802,0,0,1,0,1
803,1,1,1,1,0
804,0,1,0,0,1
805,1,1,0,0,1
806,1,1,0,1,0
807,1,0,1,0,0
808,0,0,0,1,1
809,0,0,1,0,0
810,1,0,0,0,1
811,1,0,0,1,0
812,0,0,0,1,0
813,0,1,0,0,1
814,1,1,0,1,1
815,1,1,0,0,1
816,1,0,1,0,0
817,0,1,0,1,1
818,0,1,1,1,1
819,0,1,0,1,1
820,0,0,1,0,0
821,0,0,0,1,0
822,1,1,0,0,0
823,0,0,1,1,1
824,0,1,1,0,1
825,0,0,1,1,0
826,1,1,1,0,1
827,1,0,1,1,0
828,0,1,1,1,1
829,0,0,1,1,0
830,1,1,1,1,1
831,0,0,1,0,0
832,1,0,1,0,0
833,0,0,0,1,0
834,1,0,1,1,0
835,0,1,0,0,0
836,1,0,0,1,0
837,1,0,1,0,1
838,0,0,1,0,0
839,0,1,0,1,1
840,0,0,1,1,1
841,0,0,1,0,1
842,0,0,0,0,0
843,0,1,0,0,0
844,0,1,0,1,0
845,1,1,1,0,0
846,0,1,1,1,1
847,1,0,0,0,0
848,1,1,1,0,0
849,0,0,0,0,0
850,0,1,0,0,0
851,1,1,0,0,0
852,1,1,1,0,1
853,0,0,0,0,0
854,1,1,1,0,1
855,1,1,1,1,1
856,1,0,0,1,1
857,1,1,0,1,1
858,1,0,0,0,0
859,0,0,1,0,0
860,0,1,0,1,0
861,1,0,0,1,0
862,1,0,0,0,1
863,0,0,1,1,1
864,1,0,0,0,0
865,0,0,0,0,1
866,0,1,0,1,1
867,1,0,0,1,0
868,0,0,1,1,1
869,0,1,1,1,0
870,0,1,0,1,1
871,1,1,1,1,1
872,1,0,0,1,0
873,1,1,0,1,1
874,0,0,1,0,1
875,0,1,1,1,0
876,1,1,1,1,1
877,1,0,0,0,1
878,1,1,1,0,0
879,0,1,1,1,0
880,0,0,0,1,1
881,1,0,1,0,0
882,1,1,1,0,1
883,0,0,1,1,0
884,1,0,1,0,0
885,1,1,1,1,1
886,1,0,0,1,1
887,0,0,1,1,1
888,1,1,0,1,1
889,1,1,0,1,1
890,1,1,0,1,1
891,0,0,0,1,0
892,1,0,0,0,0
893,0,0,0,1,0
894,0,1,1,1,1
895,1,1,1,1,1
896,1,0,1,0,0
897,1,1,1,1,0
898,1,0,1,0,1
899,0,0,0,0,0
900,1,0,1,0,0
901,0,1,0,1,1
902,1,1,0,0,0
903,1,1,1,1,1
904,1,0,0,0,1
905,0,1,1,0,0
906,0,0,0,1,0
907,0,0,0,0,1
908,0,0,1,0,0
909,1,1,0,1,0
910,0,0,1,0,0
911,0,0,0,1,1
912,0,0,0,0,0
913,1,0,0,1,0
914,1,0,1,0,0
915,0,0,0,1,1
916,1,0,1,1,1
917,0,0,1,1,1
918,0,0,0,0,0
919,1,1,1,1,0
920,0,1,1,0,1
921,0,1,1,1,1
922,1,1,1,1,1
923,0,1,1,0,0
924,0,0,0,1,1
925,0,0,1,0,1
926,0,0,0,1,1
927,1,1,1,0,0
928,1,0,1,1,0
929,0,0,1,1,1
930,1,0,0,1,0
931,0,1,0,0,1
932,0,0,1,1,0
933,0,1,1,0,0
934,0,0,0,1,0
935,0,0,0,0,1
936,0,1,1,1,1
937,0,1,1,0,1
938,0,1,0,0,1
939,1,1,0,1,1
940,1,1,1,1,1
941,0,0,0,1,1
942,1,0,1,0,0
943,1,0,0,1,1
944,0,0,0,1,1
945,1,0,0,1,0
946,0,0,0,0,0
947,0,0,1,0,0
948,0,0,0,0,0
949,0,0,0,0,0
950,1,0,1,1,1
951,1,1,1,1,1
952,1,1,0,1,0
953,0,0,1,1,0
954,1,0,1,1,1
955,0,1,1,0,1
956,1,1,0,0,0
957,0,1,1,1,0
958,0,0,0,1,0
959,0,1,1,1,0
960,1,1,1,1,0
961,0,0,1,0,0
962,1,1,0,0,0
963,0,1,0,1,0
964,1,0,1,1,1
965,1,0,0,0,0
966,1,1,0,0,0
967,0,1,1,1,1
968,0,0,0,0,0
969,1,0,0,1,1
970,0,0,1,1,1
971,0,0,0,1,1
972,0,0,1,1,1
973,0,0,1,0,0
974,0,1,0,0,0
975,0,0,0,0,0
976,0,1,1,1,0
977,0,1,1,0,0
978,0,1,0,1,0
979,0,0,0,1,1
980,0,0,1,1,1
981,1,1,1,0,0
982,0,0,0,0,0
983,0,0,1,0,1
984,0,0,0,0,1
985,0,1,1,0,0
986,1,0,0,1,0
987,1,0,1,1,0
988,1,0,0,0,1
989,0,0,1,1,1
990,0,0,0,1,0
991,0,0,1,1,0
992,1,1,0,0,1
993,0,1,1,0,1
994,0,0,0,0,0
995,1,0,0,1,0
996,1,0,1,1,0
997,1,1,0,1,0
998,0,1,0,0,1
999,1,0,1,0,1
1000,1,0,1,1,0
1001,1,0,1,0,0
1002,0,0,1,0,0
1003,0,0,1,1,1
1004,1,1,0,1,1
1005,0,0,1,1,0
1006,0,1,1,1,0
1007,1,0,0,1,0
1008,1,1,0,0,1
1009,1,1,0,1,1
1010,1,0,0,1,0
1011,1,0,0,1,0
1012,0,1,1,1,0
1013,0,0,1,1,1
1014,0,0,1,0,0
1015,1,1,1,0,0
1016,1,1,0,0,0
1017,0,1,1,0,1
1018,1,0,0,0,1
1019,0,0,0,1,1
1020,0,0,1,0,0
1021,1,1,0,0,1
1022,0,0,0,0,1
1023,0,0,1,1,1
1024,0,1,0,1,1
1025,1,1,1,1,1
1026,0,1,0,0,0
1027,0,0,0,0,0
1028,0,0,1,1,1
1029,1,1,1,0,0
1030,0,0,1,0,0
1031,0,1,0,0,0
1032,1,0,0,0,0
1033,0,0,0,1,0
1034,1,0,1,1,0
1035,0,1,0,1,1
1036,0,1,0,1,0
1037,0,0,0,1,1
1038,1,1,0,1,0
1039,1,0,1,1,1
1040,0,0,0,0,0
1041,0,1,0,0,1
1042,0,0,1,0,0
1043,0,1,1,0,1
1044,0,1,0,1,1
1045,1,1,1,1,1
1046,0,1,1,0,1
1047,1,1,0,1,1
1048,1,1,0,1,1
1049,1,1,0,0,0
1050,0,0,0,1,1
1051,1,1,1,1,1
1052,1,0,1,1,0
1053,0,0,1,0,1
1054,0,1,1,1,0
1055,0,1,1,1,1
1056,1,1,0,0,0
1057,0,1,0,0,0
1058,0,1,1,0,1
1059,0,0,0,0,0
1060,0,0,1,0,1
1061,0,1,1,1,0
1062,1,0,0,1,0
1063,1,0,0,1,1
1064,0,0,0,1,0
1065,1,0,0,0,0
1066,1,1,1,0,1
1067,0,0,0,1,0
1068,1,0,0,0,1
1069,1,1,0,0,1
1070,1,1,1,1,1
1071,1,0,0,1,1
1072,0,0,0,0,1
1073,1,1,1,0,0
1074,0,0,0,1,1
1075,1,1,1,1,0
1076,0,1,1,1,1
1077,1,1,1,1,0
1078,0,1,1,1,1
1079,1,0,1,1,0
1080,0,0,1,1,1
1081,1,1,1,0,0
1082,0,1,0,1,0
1083,0,0,1,0,1
1084,1,1,0,1,0
1085,0,0,0,0,0
1086,1,1,0,0,1
1087,1,0,1,0,0
1088,1,1,0,1,0
1089,1,1,1,1,1
1090,0,1,1,1,0
1091,0,0,1,0,0
1092,0,0,1,1,1
1093,1,0,1,1,1
1094,1,1,1,0,0
1095,0,0,0,0,0
1096,1,0,0,0,1
1097,1,1,1,1,1
1098,1,0,1,1,0
1099,1,1,1,1,0
1100,0,0,1,0,0
1101,1,0,0,1,1
1102,0,1,1,1,1
1103,0,1,1,1,1
1104,0,1,1,0,1
1105,0,0,1,0,1
1106,0,1,1,0,0
1107,1,1,0,0,1
1108,1,1,0,1,0
1109,0,0,1,0,1
1110,0,1,1,1,0
1111,1,1,1,1,0
1112,1,1,0,1,1
1113,1,0,1,0,1
1114,0,0,0,1,1
1115,0,0,1,1,1
1116,1,1,1,1,0
1117,0,0,0,0,0
1118,0,1,0,0,1
1119,1,0,0,0,1
1120,1,0,0,1,0
1121,1,1,1,1,0
1122,1,1,0,1,1
1123,0,1,0,1,1
1124,1,0,0,1,1
1125,0,1,1,0,0
1126,1,1,0,1,1
1127,0,0,1,0,1
1128,1,0,0,0,1
1129,0,0,1,1,0
1130,0,0,0,1,0
1131,0,1,0,0,0
1132,0,1,1,1,0
1133,0,1,0,1,1
1134,1,1,0,0,0
1135,1,0,1,0,0
1136,0,1,1,0,0
1137,1,0,1,0,1
1138,0,0,1,0,1
1139,0,1,0,0,1
1140,1,1,1,0,0
1141,0,1,0,1,0
1142,1,0,0,0,0
1143,0,1,0,1,1
1144,1,0,0,1,0
1145,1,1,1,1,0
1146,0,0,1,1,0
1147,0,0,0,0,0
